STUDENT_ID,FIELD_OF_STUDY_ID,DEPARTMENT_ID,DEGREE,YEAR,TIME_ID
1,2,2,1,1,201310
2,2,2,1,3,201510
3,10,8,1,1,202010
4,6,5,1,2,201810
5,8,7,1,3,201610
6,5,4,2,1,201910
7,1,1,1,3,201510
8,5,4,1,2,201910
9,2,2,1,3,201310
10,10,8,1,3,201710
11,1,1,2,2,201610
12,8,7,2,1,201310
13,2,2,2,2,201410
14,5,4,1,2,201510
15,4,2,2,2,201410
16,8,7,2,2,201710
17,10,8,1,1,201510
18,6,5,2,1,201410
19,1,1,2,2,201710
20,6,5,2,2,201510
21,10,8,2,1,201810
22,6,5,2,1,201510
23,3,3,2,1,201810
24,4,2,2,1,201310
25,8,7,2,2,201810
26,3,3,1,3,201710
27,6,5,1,3,201710
28,1,1,1,2,201310
29,6,5,1,3,201910
30,9,8,2,2,201910
31,9,8,2,1,202010
32,8,7,1,1,201510
33,10,8,1,1,201410
34,3,3,2,2,201510
35,10,8,2,2,201610
36,2,2,1,1,201910
37,7,6,1,3,201510
38,2,2,2,1,201710
39,5,4,2,2,202010
40,2,2,2,1,201810
41,8,7,2,2,201310
42,7,6,2,2,201510
43,8,7,2,2,201310
44,4,2,1,2,201610
45,9,8,2,1,201610
46,3,3,1,3,201510
47,6,5,1,3,201810
48,9,8,1,1,201310
49,3,3,2,1,201310
50,7,6,2,2,201810
51,8,7,2,1,201610
52,5,4,1,3,201510
53,10,8,2,2,201710
54,5,4,1,1,201510
55,3,3,2,1,201410
56,8,7,2,1,201410
57,9,8,1,2,201510
58,10,8,1,3,201510
59,4,2,1,3,201710
60,6,5,1,2,201310
61,8,7,1,1,201310
62,2,2,1,1,201810
63,9,8,2,1,201910
64,3,3,2,2,201310
65,8,7,1,1,202010
66,7,6,2,2,201710
67,7,6,1,2,201710
68,8,7,2,1,201710
69,9,8,1,2,201310
70,9,8,1,2,201710
71,10,8,2,2,201910
72,4,2,1,1,201410
73,3,3,1,3,201710
74,6,5,2,1,201610
75,9,8,2,1,201810
76,10,8,2,1,201310
77,10,8,2,2,202010
78,5,4,1,2,201610
79,7,6,1,2,201910
80,9,8,1,2,201410
81,7,6,1,3,201810
82,5,4,2,2,201310
83,4,2,1,3,201910
84,10,8,2,1,201310
85,9,8,1,1,201810
86,9,8,2,2,201610
87,9,8,1,1,201910
88,8,7,1,1,201810
89,3,3,2,2,201810
90,7,6,1,1,202010
91,8,7,2,2,201510
92,6,5,1,3,201510
93,5,4,2,2,201710
94,2,2,2,1,201410
95,10,8,2,2,201410
96,1,1,2,2,202010
97,3,3,2,2,201910
98,7,6,2,1,201710
99,10,8,2,2,201310
100,6,5,2,1,201910
101,5,4,1,1,201410
102,4,2,1,2,201310
103,8,7,2,2,201710
104,8,7,2,2,201410
105,2,2,2,2,201610
106,10,8,2,1,202010
107,7,6,1,2,201810
108,2,2,2,2,201910
109,1,1,1,3,202010
110,8,7,1,2,201810
111,4,2,2,1,201310
112,2,2,1,3,201810
113,3,3,1,3,201310
114,4,2,2,2,201510
115,7,6,1,1,201410
116,6,5,1,3,201410
117,5,4,1,2,201710
118,10,8,1,1,201510
119,10,8,2,2,201310
120,3,3,1,3,201310
121,3,3,2,1,201610
122,3,3,2,1,201410
123,1,1,1,2,201710
124,9,8,2,2,201410
125,4,2,2,2,202010
126,6,5,2,2,201710
127,2,2,2,1,201310
128,6,5,2,2,201510
129,2,2,2,2,202010
130,5,4,2,2,201610
131,5,4,2,2,202010
132,6,5,1,2,201910
133,2,2,2,1,201710
134,1,1,1,3,201710
135,6,5,2,1,202010
136,3,3,2,1,202010
137,4,2,2,2,202010
138,10,8,1,2,201410
139,8,7,1,2,201410
140,8,7,1,2,201610
141,4,2,1,1,201310
142,8,7,2,1,201810
143,4,2,1,3,201310
144,7,6,2,2,201310
145,4,2,2,1,201810
146,2,2,2,1,201710
147,2,2,2,1,201810
148,9,8,2,2,201310
149,9,8,1,3,201410
150,4,2,1,3,202010
151,10,8,2,2,201510
152,10,8,2,2,201910
153,4,2,2,1,201310
154,10,8,1,3,201910
155,8,7,1,3,202010
156,8,7,2,1,202010
157,5,4,1,2,201810
158,1,1,2,2,201510
159,2,2,2,1,201410
160,10,8,2,2,201710
161,9,8,1,2,201310
162,8,7,2,2,201810
163,6,5,1,1,202010
164,5,4,1,1,201510
165,1,1,1,3,201310
166,1,1,1,1,201410
167,10,8,1,1,201510
168,3,3,1,3,201910
169,8,7,1,2,201610
170,9,8,1,2,201410
171,5,4,1,1,201610
172,4,2,1,3,201610
173,8,7,2,2,201710
174,1,1,1,2,201810
175,5,4,2,2,201810
176,2,2,1,2,201310
177,9,8,2,2,201410
178,7,6,2,2,201810
179,7,6,2,1,201910
180,1,1,1,3,201810
181,10,8,2,1,201810
182,10,8,2,2,201810
183,1,1,2,2,201810
184,3,3,1,2,201510
185,8,7,1,2,201710
186,8,7,2,2,201610
187,3,3,1,3,201710
188,1,1,1,1,201610
189,6,5,1,3,201410
190,10,8,1,3,201710
191,7,6,2,2,201910
192,2,2,2,2,201910
193,7,6,1,2,201910
194,3,3,1,2,201810
195,10,8,2,1,201910
196,1,1,2,2,201710
197,6,5,2,1,202010
198,9,8,2,2,201610
199,8,7,1,3,201910
200,1,1,2,1,201510
201,9,8,2,1,201610
202,8,7,2,2,201410
203,1,1,1,2,202010
204,6,5,2,2,201810
205,8,7,2,1,201710
206,5,4,2,1,201810
207,10,8,2,1,201310
208,10,8,2,2,201910
209,6,5,1,3,201510
210,8,7,1,2,201310
211,7,6,1,2,201710
212,2,2,1,1,201910
213,1,1,2,1,201310
214,9,8,2,2,201910
215,9,8,1,2,201710
216,10,8,1,1,201710
217,8,7,1,3,201510
218,2,2,2,2,201510
219,1,1,2,2,201310
